Vertices,Avg.Time Taken
3,0.0200
4,0.0000
5,0.0000
6,0.0200
7,0.0000
8,0.0400
9,0.2200
10,0.5200
11,1.3600
12,3.6800
13,10.4800
14,31.5200
15,93.9400
