Vertices,Avg.Time Taken
3,0.0000
4,0.0000
5,0.0000
6,0.0200
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0200
12,0.0000
13,0.0000
14,0.0200
15,0.0000
16,0.0000
17,0.0400
18,0.0200
19,0.0600
20,0.0200
21,0.0000
22,0.0400
23,0.0200
24,0.0600
25,0.0000
26,0.0400
27,0.0400
28,0.0600
29,0.0800
30,0.0400
31,0.1000
32,0.0800
33,0.1000
34,0.1800
35,0.0400
36,0.0200
37,0.0800
38,0.2600
39,0.0800
40,0.1600
41,0.2200
42,0.1000
43,0.0800
44,0.2000
45,0.1400
46,0.0800
47,0.2000
48,0.1400
49,0.1000
50,0.2600
